,T10,T11,T12,T13,T14,T15,T16,A10,PV10,P10,A11,PV11,P11,A12,PV12,P12,A13,PV13,P13,A14,PV14,P14,A15,PV15,P15,A16,PV16,P16,A17,PV17,P17,A18,PV18,P18,A19,PV19,P19,A20,PV20,P20
0,"(0.2658367487462586, 0.723732302883811)","(0.7857762270553377, 0.8242915588457169)","(0.11582239555964069, 0.19498962542966536)","(2.132361383349039, 2.35660888951491)","(0.10686650656118213, 0.32059473934908644, 0.33565539407762224, 0.5428416587760667, 0.5706875796539661)","(0.09135065122851327, 0.1661041705734012, 0.1801690581240133, 0.2270707597481958, 0.3175882758862456, 0.4896159988707378, 0.624766883202548, 0.8659538008999476, 0.8721136099786637, 0.9048144682000011)","(0.14272667394868, 0.150973335284453, 0.17753396742298777, 0.19197174477449463, 0.21465967266725938, 0.43490380680565077, 0.467432673551584, 0.4841259899809113, 0.5216918661437572, 0.5334437901833804, 0.5500791828661833, 0.5737148941156632, 0.6077315438762049, 0.6262042787399704, 0.6384521275979121, 0.7431197468989518, 0.7564108508069385, 0.7672351748970939, 0.7944782742192751, 0.797536843177431, 0.8510893787978497, 0.8960124583527252, 0.9411803434775918, 0.9555913656766893, 0.9869114965453629)",0,"(0, 0.2658367487462586, 0.2658367487462586, 0.29540696425534085, 0.4431104463830113, 0.5908139285106817, 0, 0, 0, 0)",0.0,0,"(0, 0.7857762270553377, 0.7857762270553377, 0.7857762270553377, 0.7857762270553377, 0.7967806075668746, 0.81328717833418, 0, 0, 0)",0.0,0,"(0, 0.11582239555964069, 0.11582239555964069, 0.11582239555964069, 0.11582239555964069, 0.13844160409393347, 0.1723704168953726, 0, 0, 0)",0.0,0,"(0, 2.132361383349039, 2.132361383349039, 2.132361383349039, 2.132361383349039, 2.196432099396431, 2.2925381734675185, 0, 0, 0)",0.0,0,"(0, 0.5428416587760667, 0.5428416587760667, 0.5428416587760667, 0.5428416587760667, 0.5428416587760667, 0.5428416587760667, 0.5671620066683097, 0, 0)",0.0,0,"(0, 0.8721136099786637, 0.8721136099786637, 0.8721136099786637, 0.8721136099786637, 0.8721136099786637, 0.8721136099786637, 0.8721136099786637, 0, 0)",0.0,0,"(0, 0.9555913656766893, 0.9555913656766893, 0.9555913656766893, 0.9555913656766893, 0.9555913656766893, 0.9555913656766893, 0.9555913656766893, 0.9555913656766893, 0)",0.0,0,,0.2658367487462586,0,,0.2658367487462586,0,,0.8721136099786637,0,,0.8721136099786637
1,"(0.7704508638263811, 0.8637295529788678)","(0.5790074545009283, 0.8175429123212821)","(1.0144568910437115, 2.440884836285142)","(2.1714248827797222, 2.5474050411868383)","(0.1909333639694406, 0.24008458880338857, 0.8132082238508229, 0.8988981955358694, 0.9973081913079039)","(0.13393298646609963, 0.24473471066505803, 0.4450449116565641, 0.47442191322756455, 0.4956222654841026, 0.605765275464461, 0.7731890219317183, 0.9319571180605288, 0.9564289293312926, 0.9888294612395105)","(0.02430629741013257, 0.07415196745823949, 0.0743857516425187, 0.12436460424812568, 0.13075128415224335, 0.2127705086859215, 0.23129654471026284, 0.36712508451658554, 0.3879886818040803, 0.38969874736896293, 0.4478223726693009, 0.4888511472278265, 0.4917886113549542, 0.5134454606960336, 0.5384886014451034, 0.6067359621862424, 0.6410965533567607, 0.6782431191928732, 0.6889839281030777, 0.7165530546692698, 0.7795857782496933, 0.863750380654076, 0.8811449475051703, 0.8850975340869158, 0.8886960249250935)",1,"(0, 0.7704508638263811, 0.7704508638263811, 0.7704508638263811, 0.7704508638263811, 0.7704508638263811, 0.7704508638263811, 0, 0, 0)",0.7704508638263811,5,"(0, 0.5790074545009283, 0.7472608952649584, 0.7637674660322639, 0.7802740367995692, 0.7967806075668746, 0.81328717833418, 0, 0, 0)",0.7967806075668746,4,"(0, 1.0144568910437115, 1.0144568910437115, 1.0144568910437115, 1.0144568910437115, 1.0144568910437115, 1.0144568910437115, 1.0144568910437115, 1.0144568910437115, 1.0144568910437115)",1.0144568910437115,2,"(0, 2.1714248827797222, 2.1714248827797222, 2.1714248827797222, 2.1714248827797222, 2.196432099396431, 2.2925381734675185, 2.3886442475386063, 2.4847503216096936, 0)",2.1714248827797222,0,"(0, 0.8988981955358694, 0.8988981955358694, 0.8988981955358694, 0.8988981955358694, 0.8988981955358694, 0.8988981955358694, 0.8988981955358694, 0.8988981955358694, 0.8988981955358694)",0.0,4,"(0, 0.9564289293312926, 0.9564289293312926, 0.9564289293312926, 0.9564289293312926, 0.9564289293312926, 0.9564289293312926, 0.9564289293312926, 0.9564289293312926, 0)",0.9564289293312926,1,"(0, 0.8850975340869158, 0.8850975340869158, 0.8850975340869158, 0.8850975340869158, 0.8850975340869158, 0.8850975340869158, 0.8850975340869158, 0, 0)",0.8850975340869158,0,,0.7704508638263811,0,,0.7704508638263811,0,,0.9564289293312926,0,,0.9564289293312926
2,"(0.02666125901071914, 0.29773187829106806)","(0.7043458955816754, 0.9575102397166005)","(0.8270448509585646, 1.8002750087202826)","(2.6060476747411063, 2.776068302128655)","(0.0954608452936001, 0.13975017388564437, 0.14442850881082714, 0.17544358363181434, 0.6645129669422588)","(0.1819870743059374, 0.20773733390406046, 0.21275036808796766, 0.25811058744208937, 0.7430524905210858, 0.8409486098592917, 0.881161792761434, 0.9042856016542662, 0.983969213295334, 0.9942328946084228)","(0.07605731677824978, 0.10960186066010058, 0.18778594073661725, 0.24999422219649203, 0.2509134090226427, 0.3314149138031429, 0.3623559040572165, 0.3806085729620702, 0.40168126055841313, 0.41338009966201106, 0.557313804836644, 0.5663175112692139, 0.6033186745233271, 0.6081908856262167, 0.6224562663866424, 0.6475899245635895, 0.6536033081430686, 0.6811358153495194, 0.7410942176660941, 0.7423889530615729, 0.7659061431142187, 0.7665983255442965, 0.7819485457322048, 0.8044152755562447, 0.9516419945488113)",2,"(0, 0.02666125901071914, 0.14770348212767043, 0.29540696425534085, 0, 0, 0, 0, 0, 0)",0.14770348212767043,5,"(0, 0.7043458955816754, 0.7472608952649584, 0.7637674660322639, 0.7802740367995692, 0.7967806075668746, 0.81328717833418, 0.8297937491014854, 0.8463003198687907, 0.8628068906360962)",0.7967806075668746,5,"(0, 0.8270448509585646, 0.8270448509585646, 0.8270448509585646, 0.8270448509585646, 0.8270448509585646, 0.8270448509585646, 0.8270448509585646, 0.8270448509585646, 0.8270448509585646)",0.8270448509585646,3,"(0, 2.6060476747411063, 2.6060476747411063, 2.6060476747411063, 2.6060476747411063, 2.6060476747411063, 2.6060476747411063, 2.6060476747411063, 2.6060476747411063, 2.6060476747411063)",2.6060476747411063,0,"(0, 0.17544358363181434, 0.17544358363181434, 0.1890540022227699, 0.28358100333415487, 0.3781080044455398, 0.4726350055569248, 0.5671620066683097, 0.6616890077796946, 0)",0.0,7,"(0, 0.983969213295334, 0.983969213295334, 0.983969213295334, 0.983969213295334, 0.983969213295334, 0.983969213295334, 0.983969213295334, 0.983969213295334, 0)",0.983969213295334,4,"(0, 0.8044152755562447, 0.8044152755562447, 0.8044152755562447, 0.8044152755562447, 0.8044152755562447, 0.8044152755562447, 0.8044152755562447, 0.9145527974656472, 0)",0.8044152755562447,0,,0.02666125901071914,0,,0.02666125901071914,0,,0.983969213295334,0,,0.983969213295334
3,"(0.3811564679114634, 0.6991746912593365)","(0.6479701429883407, 0.8990676417063138)","(0.04092680160098605, 0.6134168967171555)","(2.255140758356954, 2.84488201817281)","(0.033158561079860704, 0.05200839767079213, 0.13978519713418625, 0.5412474831567662, 0.8598097663010376)","(0.02336714689615238, 0.07489114909531958, 0.14546087645904127, 0.2125125093738448, 0.2445718449774512, 0.3427159881256805, 0.44257861608970184, 0.47519731321762426, 0.7303903696611574, 0.9405094254635727)","(0.00509998640624898, 0.013355978882020558, 0.027454977156549987, 0.05263504729221824, 0.07973055060015288, 0.08417861079209121, 0.13958585971763093, 0.16282686718208683, 0.1858042033779571, 0.23849346135265082, 0.28699499907499404, 0.2911050702154654, 0.40922035901886566, 0.4173448676514133, 0.42330711844938596, 0.43038713653709937, 0.457801426768491, 0.5547975549156619, 0.8348783949961696, 0.8786027430950005, 0.8846679835766758, 0.8847234478229103, 0.9052700602018865, 0.9442080116401436, 0.9927909878512058)",8,"(0, 0.3811564679114634, 0.3811564679114634, 0.3811564679114634, 0.4431104463830113, 0.5908139285106817, 0, 0, 0, 0)",0.0,4,"(0, 0.6479701429883407, 0.7472608952649584, 0.7637674660322639, 0.7802740367995692, 0.7967806075668746, 0.81328717833418, 0.8297937491014854, 0.8463003198687907, 0.8628068906360962)",0.7802740367995692,4,"(0, 0.04092680160098605, 0.04092680160098605, 0.07058397849105516, 0.10451279129249431, 0.13844160409393347, 0.1723704168953726, 0.20629922969681175, 0.24022804249825092, 0.27415685529969)",0.10451279129249431,6,"(0, 2.255140758356954, 2.255140758356954, 2.255140758356954, 2.255140758356954, 2.255140758356954, 2.2925381734675185, 2.3886442475386063, 2.4847503216096936, 2.5808563956807813)",2.2925381734675185,2,"(0, 0.5412474831567662, 0.5412474831567662, 0.5412474831567662, 0.5412474831567662, 0.5412474831567662, 0.5412474831567662, 0.5671620066683097, 0.6616890077796946, 0.7562160088910796)",0.5412474831567662,8,"(0, 0.7303903696611574, 0.7303903696611574, 0.7303903696611574, 0.7303903696611574, 0.7303903696611574, 0.7303903696611574, 0.800630423695724, 0.9340688276450113, 0)",0.9340688276450113,7,"(0, 0.9442080116401436, 0.9442080116401436, 0.9442080116401436, 0.9442080116401436, 0.9442080116401436, 0.9442080116401436, 0.9442080116401436, 0.9442080116401436, 0)",0.9442080116401436,0,,0.3811564679114634,0,,0.3811564679114634,0,,0.7303903696611574,0,,0.7303903696611574
4,"(0.3216680677299554, 0.42026760721859147)","(0.5653927961517257, 0.6219658154668332)","(1.155901044935199, 2.8197562402582355)","(2.2527411370936052, 2.389354746727351)","(0.2740891663158761, 0.4405835576271341, 0.644915065030321, 0.6555711992296602, 0.76283869785906)","(0.08225120142974685, 0.1037245181631199, 0.1388230534339716, 0.3376421600842804, 0.6229106542702104, 0.6386335857240832, 0.7666264457482131, 0.8110832278310326, 0.8243028647123346, 0.9799652286448783)","(0.03632946176137386, 0.045922353389645676, 0.05083549626014372, 0.07230087449100397, 0.11495364054010226, 0.12694081218866116, 0.18052446594028848, 0.24786611126222102, 0.2983218339244389, 0.3236660588586585, 0.3516835770911789, 0.37679043214060415, 0.4364653887107963, 0.45601371514082534, 0.4649770808578755, 0.6009169560878351, 0.618844407853467, 0.7180705957005675, 0.7224298960871564, 0.7321188564400388, 0.8151510866225069, 0.927866332817545, 0.9294011113464784, 0.9473362785470779, 0.9537646772758638)",0,"(0, 0.3216680677299554, 0.3216680677299554, 0.3216680677299554, 0, 0, 0, 0, 0, 0)",0.0,1,"(0, 0.5653927961517257, 0, 0, 0, 0, 0, 0, 0, 0)",0.5653927961517257,1,"(0, 1.155901044935199, 1.155901044935199, 1.155901044935199, 1.155901044935199, 1.155901044935199, 1.155901044935199, 1.155901044935199, 1.155901044935199, 1.155901044935199)",1.155901044935199,5,"(0, 2.2527411370936052, 2.2527411370936052, 2.2527411370936052, 2.2527411370936052, 2.2527411370936052, 2.2925381734675185, 2.3886442475386063, 0, 0)",2.2527411370936052,2,"(0, 0.6555711992296602, 0.6555711992296602, 0.6555711992296602, 0.6555711992296602, 0.6555711992296602, 0.6555711992296602, 0.6555711992296602, 0.6616890077796946, 0.7562160088910796)",0.6555711992296602,6,"(0, 0.8243028647123346, 0.8243028647123346, 0.8243028647123346, 0.8243028647123346, 0.8243028647123346, 0.8243028647123346, 0.8243028647123346, 0.9340688276450113, 0)",0.8243028647123346,0,"(0, 0.9473362785470779, 0.9473362785470779, 0.9473362785470779, 0.9473362785470779, 0.9473362785470779, 0.9473362785470779, 0.9473362785470779, 0.9473362785470779, 0)",0.0,0,,0.3216680677299554,0,,0.3216680677299554,0,,0.8243028647123346,0,,0.8243028647123346
5,"(0.5963490370057603, 0.8054371781449963)","(0.5749451488329377, 0.980317770134391)","(0.34517291829047303, 0.38574494997164765)","(2.6091309114841366, 2.8172179493201)","(0.05183013138586934, 0.3156809863767015, 0.8117398289656245, 0.9443388212159585, 0.999970143959116)","(0.05367082718842098, 0.19780557800478316, 0.2604978172237864, 0.2615418570803143, 0.48965858829878284, 0.6824834033301324, 0.7054796377594441, 0.7905779024098291, 0.8565978485913478, 0.9762229033945814)","(0.026065931946691046, 0.06817226400572074, 0.07037005447818201, 0.07605715733728258, 0.076660882602271, 0.14224763275191632, 0.15097792964287915, 0.1540700761014493, 0.19151301639146845, 0.19936072109087222, 0.2151222377232731, 0.22140467548620135, 0.22636482953759252, 0.23486443727302297, 0.246480199322899, 0.3778283117046458, 0.38819746516464904, 0.44979610706916384, 0.5472859611682798, 0.678013170091864, 0.6818248486481134, 0.8151238555169651, 0.9222996532263065, 0.9741583438474403, 0.9976512735262099)",3,"(0, 0.5963490370057603, 0.5963490370057603, 0.5963490370057603, 0.5963490370057603, 0.5963490370057603, 0.7385174106383521, 0, 0, 0)",0.5963490370057603,7,"(0, 0.5749451488329377, 0.7472608952649584, 0.7637674660322639, 0.7802740367995692, 0.7967806075668746, 0.81328717833418, 0.8297937491014854, 0.8463003198687907, 0.8628068906360962)",0.8297937491014854,2,"(0, 0.34517291829047303, 0.34517291829047303, 0.34517291829047303, 0.34517291829047303, 0.34517291829047303, 0.34517291829047303, 0.34517291829047303, 0.34517291829047303, 0.34517291829047303)",0.34517291829047303,7,"(0, 2.6091309114841366, 2.6091309114841366, 2.6091309114841366, 2.6091309114841366, 2.6091309114841366, 2.6091309114841366, 2.6091309114841366, 2.6091309114841366, 2.6091309114841366)",2.6091309114841366,4,"(0, 0.9443388212159585, 0.9443388212159585, 0.9443388212159585, 0.9443388212159585, 0.9443388212159585, 0.9443388212159585, 0.9443388212159585, 0.9443388212159585, 0.9443388212159585)",0.9443388212159585,1,"(0, 0.8565978485913478, 0.8565978485913478, 0.8565978485913478, 0.8565978485913478, 0.8565978485913478, 0.8565978485913478, 0.8565978485913478, 0.9340688276450113, 0)",0.8565978485913478,5,"(0, 0.9741583438474403, 0.9741583438474403, 0.9741583438474403, 0.9741583438474403, 0.9741583438474403, 0.9741583438474403, 0.9741583438474403, 0.9741583438474403, 0)",0.9741583438474403,2,"(0, 0.5963490370057603, 0.5963490370057603, 0.5963490370057603, 0.5963490370057603, 0.5963490370057603, 0.6444645073578109, 0.7733574088293731, 0, 0)",0.5963490370057603,0,,0.5963490370057603,0,"(0, 0.8565978485913478, 0.8565978485913478, 0.8565978485913478, 0.8565978485913478, 0.8565978485913478, 0.8565978485913478, 0.8565978485913478, 0.9039340839522995, 0)",0.0,0,,0.8565978485913478
6,"(0.12308800224958028, 0.568293232466693)","(0.40188589499851834, 0.549784043750482)","(0.23094926867795695, 0.49379315170099936)","(2.506110356149812, 2.656069301390869)","(0.3972056944123169, 0.48347784195281307, 0.6428447414286795, 0.6735813030114018, 0.7716390740539598)","(0.04792236992606369, 0.10454796983409909, 0.1594091263923716, 0.25244917853637416, 0.27333823872701535, 0.3966106605954566, 0.7114187103436533, 0.7278464746838681, 0.787848031896115, 0.9312790322300978)","(0.0009634756462427729, 0.21502631015507867, 0.22657535774913196, 0.23624601914988486, 0.2920177277493119, 0.3264670130434473, 0.34439580216269416, 0.3674391065331195, 0.40028084007380704, 0.4003026138777941, 0.5170867082873034, 0.5421375519512787, 0.5743409998089793, 0.6338073306001348, 0.6535392715488181, 0.6724795587338116, 0.6856230457361614, 0.747869358410486, 0.7574969879548586, 0.8473556877566893, 0.8994275337758096, 0.9136095908678215, 0.9318536792997941, 0.9371603151913276, 0.9828730936436771)",0,"(0, 0.12308800224958028, 0.14770348212767043, 0.29540696425534085, 0.4431104463830113, 0, 0, 0, 0, 0)",0.0,7,"(0, 0.40188589499851834, 0, 0, 0, 0, 0, 0, 0, 0)",0.0,2,"(0, 0.23094926867795695, 0.23094926867795695, 0.23094926867795695, 0.23094926867795695, 0.23094926867795695, 0.23094926867795695, 0.23094926867795695, 0.24022804249825092, 0.27415685529969)",0.23094926867795695,6,"(0, 2.506110356149812, 2.506110356149812, 2.506110356149812, 2.506110356149812, 2.506110356149812, 2.506110356149812, 2.506110356149812, 2.506110356149812, 2.5808563956807813)",2.506110356149812,1,"(0, 0.6735813030114018, 0.6735813030114018, 0.6735813030114018, 0.6735813030114018, 0.6735813030114018, 0.6735813030114018, 0.6735813030114018, 0.6735813030114018, 0.7562160088910796)",0.6735813030114018,4,"(0, 0.787848031896115, 0.787848031896115, 0.787848031896115, 0.787848031896115, 0.787848031896115, 0.787848031896115, 0.800630423695724, 0, 0)",0.787848031896115,9,"(0, 0.9371603151913276, 0.9371603151913276, 0.9371603151913276, 0.9371603151913276, 0.9371603151913276, 0.9371603151913276, 0.9371603151913276, 0.9371603151913276, 0)",0.0,2,"(0, 0.12308800224958028, 0.12889290147156218, 0.25778580294312436, 0.38667870441468655, 0.5155716058862487, 0, 0, 0, 0)",0.12889290147156218,0,,0.12308800224958028,8,"(0, 0.787848031896115, 0.787848031896115, 0.787848031896115, 0.787848031896115, 0.787848031896115, 0.787848031896115, 0.787848031896115, 0.9039340839522995, 0)",0.9039340839522995,0,,0.787848031896115
7,"(0.4364832459962097, 0.9416554546852358)","(0.5328821063976067, 0.6359276648532167)","(1.5379740544582527, 2.0194561371090627)","(2.0844401023983243, 2.9801569686775378)","(0.11320153327825078, 0.4461032754180356, 0.47813412663367727, 0.5073060360573011, 0.915961175011764)","(0.01739281714296581, 0.2419352488867248, 0.3094224228680864, 0.36124764244686247, 0.37312238878515347, 0.3751998183289551, 0.488383867155992, 0.5110228219944434, 0.5157194882486404, 0.8822158820245328)","(0.07329565113804926, 0.109766382369478, 0.19459601510311375, 0.26854017306594147, 0.280686343661521, 0.28234945063808337, 0.33281139273833027, 0.40741942025688016, 0.431348236058384, 0.43729634652291016, 0.467084725223049, 0.5056400587781555, 0.5362005376792252, 0.5490450691551984, 0.620359859354167, 0.6601679259087713, 0.664153610229077, 0.7421746741973259, 0.7767392979263705, 0.7929636634489258, 0.8065304926525206, 0.8405770037157745, 0.860984745254101, 0.9071240022455824, 0.9872220938318116)",5,"(0, 0.4364832459962097, 0.4364832459962097, 0.4364832459962097, 0.4431104463830113, 0.5908139285106817, 0.7385174106383521, 0.8862208927660226, 0, 0)",0.5908139285106817,7,"(0, 0.5328821063976067, 0, 0, 0, 0, 0, 0, 0, 0)",0.0,6,"(0, 1.5379740544582527, 1.5379740544582527, 1.5379740544582527, 1.5379740544582527, 1.5379740544582527, 1.5379740544582527, 1.5379740544582527, 1.5379740544582527, 1.5379740544582527)",1.5379740544582527,3,"(0, 2.0844401023983243, 2.0844401023983243, 2.0844401023983243, 2.100326025325343, 2.196432099396431, 2.2925381734675185, 2.3886442475386063, 2.4847503216096936, 2.5808563956807813)",2.0844401023983243,0,"(0, 0.5073060360573011, 0.5073060360573011, 0.5073060360573011, 0.5073060360573011, 0.5073060360573011, 0.5073060360573011, 0.5671620066683097, 0.6616890077796946, 0.7562160088910796)",0.0,7,"(0, 0.5157194882486404, 0.5157194882486404, 0.5157194882486404, 0.5157194882486404, 0.5337536157971493, 0.6671920197464366, 0.800630423695724, 0, 0)",0.800630423695724,3,"(0, 0.9071240022455824, 0.9071240022455824, 0.9071240022455824, 0.9071240022455824, 0.9071240022455824, 0.9071240022455824, 0.9071240022455824, 0.9145527974656472, 0)",0.9071240022455824,6,"(0, 0.4364832459962097, 0.4364832459962097, 0.4364832459962097, 0.4364832459962097, 0.5155716058862487, 0.6444645073578109, 0.7733574088293731, 0.9022503103009353, 0)",0.6444645073578109,0,,0.4364832459962097,4,"(0, 0.5157194882486404, 0.5157194882486404, 0.5157194882486404, 0.5157194882486404, 0.5165337622584568, 0.645667202823071, 0.7748006433876853, 0, 0)",0.5157194882486404,0,,0.5157194882486404
8,"(0.3836291344930406, 0.601319803653026)","(0.5678895483556563, 0.8643506399422602)","(1.561605453420011, 1.6872086750960387)","(2.042823890070106, 2.6257721132796696)","(0.0713073416980613, 0.31605480220010396, 0.4788643187356011, 0.5369156598545816, 0.8717752723730307)","(0.06601397305456103, 0.19552820198833087, 0.24868563373649144, 0.3999770428977807, 0.5323335126909282, 0.5611673344722743, 0.596777769361435, 0.7411892390814414, 0.8910596242958327, 0.9776297873452156)","(0.04021226062691663, 0.06404254276747634, 0.07093988569635112, 0.08280612538269427, 0.12243816936702256, 0.13230251778678692, 0.13912679743142875, 0.1485417276070532, 0.15700423821916143, 0.19042371979416406, 0.19797102855248072, 0.36122983998926894, 0.38295406623083794, 0.4347863967812903, 0.483086670135068, 0.48771502356894647, 0.5725822015799699, 0.5885176891238794, 0.6176854942496319, 0.6230911617417726, 0.7261269320457258, 0.8198721544906158, 0.9307970212628394, 0.967766465996332, 0.9798600970735486)",4,"(0, 0.3836291344930406, 0.3836291344930406, 0.3836291344930406, 0.4431104463830113, 0.5908139285106817, 0, 0, 0, 0)",0.4431104463830113,9,"(0, 0.5678895483556563, 0.7472608952649584, 0.7637674660322639, 0.7802740367995692, 0.7967806075668746, 0.81328717833418, 0.8297937491014854, 0.8463003198687907, 0.8628068906360962)",0.8628068906360962,2,"(0, 1.561605453420011, 1.561605453420011, 1.561605453420011, 1.561605453420011, 1.561605453420011, 1.561605453420011, 1.561605453420011, 1.561605453420011, 1.561605453420011)",1.561605453420011,9,"(0, 2.042823890070106, 2.042823890070106, 2.042823890070106, 2.100326025325343, 2.196432099396431, 2.2925381734675185, 2.3886442475386063, 2.4847503216096936, 2.5808563956807813)",2.5808563956807813,7,"(0, 0.5369156598545816, 0.5369156598545816, 0.5369156598545816, 0.5369156598545816, 0.5369156598545816, 0.5369156598545816, 0.5671620066683097, 0.6616890077796946, 0.7562160088910796)",0.5671620066683097,8,"(0, 0.8910596242958327, 0.8910596242958327, 0.8910596242958327, 0.8910596242958327, 0.8910596242958327, 0.8910596242958327, 0.8910596242958327, 0.9340688276450113, 0)",0.9340688276450113,0,"(0, 0.967766465996332, 0.967766465996332, 0.967766465996332, 0.967766465996332, 0.967766465996332, 0.967766465996332, 0.967766465996332, 0.967766465996332, 0)",0.0,0,"(0, 0.3836291344930406, 0.3836291344930406, 0.3836291344930406, 0.38667870441468655, 0.5155716058862487, 0, 0, 0, 0)",0.0,0,,0.3836291344930406,3,"(0, 0.8910596242958327, 0.8910596242958327, 0.8910596242958327, 0.8910596242958327, 0.8910596242958327, 0.8910596242958327, 0.8910596242958327, 0.9039340839522995, 0)",0.8910596242958327,0,,0.8910596242958327
9,"(0.015666253518044293, 0.7741931967663915)","(0.4628159058664171, 0.7567226462025953)","(2.2888182261697354, 2.2920023343091622)","(2.046653445272799, 2.0894346354590665)","(0.004250377834270402, 0.1284716805969559, 0.24933033152829864, 0.5111340729277694, 0.962461687286001)","(0.1105138217397662, 0.15349894990590318, 0.2502103725245638, 0.514230869739991, 0.7021166968892308, 0.7028536574667571, 0.7077462215603236, 0.7183878210555734, 0.7454962662591572, 0.9557008853748302)","(0.08204876229609903, 0.21590789244145148, 0.2280440879342176, 0.2398944694340941, 0.24318439660671243, 0.37611710249440444, 0.42046420576505716, 0.4273208056989455, 0.44292946612832684, 0.5042196916099699, 0.5326846050942361, 0.5405292401717969, 0.5933169884001588, 0.6055691706576338, 0.6292890869093766, 0.6324732824031097, 0.7402814652417175, 0.7685606361925662, 0.784351524788701, 0.7854307731794011, 0.863627707580598, 0.9241604470359011, 0.9366717005950752, 0.9784274239024311, 0.993008777248175)",3,"(0, 0.015666253518044293, 0.14770348212767043, 0.29540696425534085, 0.4431104463830113, 0.5908139285106817, 0.7385174106383521, 0, 0, 0)",0.29540696425534085,7,"(0, 0.4628159058664171, 0.7472608952649584, 0, 0, 0, 0, 0, 0, 0)",0.0,1,"(0, 2.2888182261697354, 2.2888182261697354, 2.2888182261697354, 2.2888182261697354, 2.2888182261697354, 2.2888182261697354, 2.2888182261697354, 2.2888182261697354, 2.2888182261697354)",2.2888182261697354,9,"(0, 2.046653445272799, 2.046653445272799, 2.046653445272799, 0, 0, 0, 0, 0, 0)",0.0,3,"(0, 0.5111340729277694, 0.5111340729277694, 0.5111340729277694, 0.5111340729277694, 0.5111340729277694, 0.5111340729277694, 0.5671620066683097, 0.6616890077796946, 0.7562160088910796)",0.5111340729277694,8,"(0, 0.7454962662591572, 0.7454962662591572, 0.7454962662591572, 0.7454962662591572, 0.7454962662591572, 0.7454962662591572, 0.800630423695724, 0.9340688276450113, 0)",0.9340688276450113,7,"(0, 0.9784274239024311, 0.9784274239024311, 0.9784274239024311, 0.9784274239024311, 0.9784274239024311, 0.9784274239024311, 0.9784274239024311, 0.9784274239024311, 0)",0.9784274239024311,3,"(0, 0.015666253518044293, 0.12889290147156218, 0.25778580294312436, 0.38667870441468655, 0.5155716058862487, 0.6444645073578109, 0.7733574088293731, 0, 0)",0.25778580294312436,0,,0.015666253518044293,3,"(0, 0.7454962662591572, 0.7454962662591572, 0.7454962662591572, 0.7454962662591572, 0.7454962662591572, 0.7454962662591572, 0.7748006433876853, 0.9039340839522995, 0)",0.7454962662591572,0,,0.7454962662591572
